Country,"Yearly  Water Used (m³, thouand of liters)",Daily Water Used Per Capita (liters),Population
Maldives,"5,900,000",48,"336,883"
Mali,"5,186,000,000","1,043","13,623,541"
Malta,"62,800,000",368,"467,705"
Mauritania,"1,350,000,000","1,228","3,012,360"
Mauritius,"725,000,000","1,599","1,242,340"
Mexico,"86,580,000,000","1,952","121,519,221"
Moldova,"1,065,000,000",753,"3,876,843"
Monaco,"5,000,000",423,"32,401"
Mongolia,"462,400,000",418,"3,029,555"
Montenegro,"160,900,000",699,"631,044"
Morocco,"10,430,000,000",880,"32,464,865"
Mozambique,"1,473,000,000",150,"26,843,246"
Myanmar,"33,230,000,000","1,999","45,538,332"
Namibia,"288,000,000",418,"1,888,525"
Nepal,"9,497,000,000",981,"26,518,971"
Netherlands,"8,919,000,000","1,441","16,954,081"
New Zealand,"5,201,000,000","3,278","4,346,338"
Nicaragua,"1,545,000,000",712,"5,942,553"
Niger,"1,747,000,000",229,"20,921,743"
Nigeria,"12,470,000,000",212,"160,952,853"
North Korea,"8,658,000,000",984,"24,100,982"
North Macedonia,"551,200,000",725,"2,083,488"
Norway,"3,026,000,000","1,760","4,709,577"
Oman,"1,321,000,000","1,488","2,431,600"
Pakistan,"183,500,000,000","2,704","185,931,955"
Panama,"1,211,000,000",824,"4,026,336"
Papua New Guinea,"392,100,000",165,"6,498,818"
Paraguay,"2,413,000,000","1,116","5,923,322"
Peru,"13,660,000,000","1,299","28,806,185"
Philippines,"85,140,000,000","2,224","104,875,266"
Poland,"10,580,000,000",752,"38,532,113"
Portugal,"9,151,000,000","2,373","10,565,551"
Puerto Rico,"4,153,000,000","3,060","3,717,922"
Qatar,"444,000,000","1,433","848,710"
Romania,"6,374,000,000",882,"19,797,820"
Russia,"69,500,000,000","1,312","145,109,157"
Rwanda,"150,000,000",51,"8,109,989"
Saint Kitts & Nevis,"15,600,000",896,"47,727"
Saint Lucia,"42,900,000",702,"167,518"
Sao Tome & Principe,"40,900,000",548,"204,632"
Saudi Arabia,"23,350,000,000","1,871","34,193,122"
Senegal,"2,221,000,000",598,"10,180,950"
Serbia,"4,707,000,000","1,721","7,493,288"
Seychelles,"13,700,000",437,"85,883"
Sierra Leone,"212,200,000",102,"5,683,334"
Slovakia,"535,000,000",270,"5,431,203"
Slovenia,"887,300,000","1,163","2,090,020"
Somalia,"3,298,000,000",926,"9,758,281"
South Africa,"15,500,000,000",788,"53,873,616"
South Korea,"29,200,000,000","1,671","47,889,573"
South Sudan,"658,000,000",176,"10,243,050"
Spain,"32,850,000,000","1,937","46,464,551"
Sri Lanka,"12,950,000,000","1,803","19,673,866"
St. Vincent & Grenadines,"8,500,000",217,"107,450"
State of Palestine,"363,600,000",217,"4,593,848"
Sudan,"26,930,000,000","2,144","34,419,624"
Suriname,"615,900,000","3,232","522,023"
Sweden,"2,689,000,000",785,"9,381,729"
Switzerland,"2,005,000,000",687,"7,995,738"
Syria,"16,760,000,000","2,471","18,583,557"
Tajikistan,"11,490,000,000","4,460","7,057,417"
Tanzania,"5,184,000,000",391,"36,353,531"
Thailand,"57,310,000,000","2,350","66,826,754"
Timor-Leste,"1,172,000,000","3,394","945,989"
Togo,"169,000,000",88,"5,281,538"
Trinidad and Tobago,"383,200,000",739,"1,420,020"
Tunisia,"4,875,000,000","1,131","11,811,443"
Turkey,"58,950,000,000","1,993","81,019,394"
Turkmenistan,"27,950,000,000","15,888","4,819,792"
Uganda,"637,000,000",57,"30,509,862"
Ukraine,"9,862,000,000",603,"44,833,569"
United Arab Emirates,"3,998,000,000","2,559","4,280,993"
United Kingdom,"8,420,000,000",351,"65,655,203"
United States,"444,300,000,000","3,750","324,607,776"
Uruguay,"3,660,000,000","3,046","3,292,224"
Uzbekistan,"54,560,000,000","4,752","31,453,574"
Venezuela,"22,630,000,000","2,252","27,525,097"
Vietnam,"82,030,000,000","2,703","83,142,095"
Yemen,"3,565,000,000",458,"21,320,671"
Zambia,"1,572,000,000",410,"10,508,294"
Zimbabwe,"3,570,000,000",786,"12,450,568"
